step;A_0;B_0;C;L;p;Compl;Aext;Bext;A_ingresso;A_uscita;B_ingresso;B_uscita
295;502;377;15472;10405;1;13951;2074;2046;298906;116833;297006;120419
296;565;455;16216;10481;1;13818;2074;2047;299916;117099;298049;120618
297;506;442;17042;10582;1;13647;2074;2047;300906;117362;299121;120812
298;521;410;17866;10670;1;13473;2075;2047;301904;117636;300171;121041
299;529;415;18518;10760;1;13398;2075;2047;302970;117860;301225;121270
300;538;434;19227;10830;1;13304;2075;2047;303996;118118;302276;121472
301;526;446;19861;10935;1;13240;2076;2047;305027;118417;303304;121693
302;532;440;20433;11042;1;13238;2076;2048;306107;118677;304346;121908
303;489;483;21031;11135;1;13210;2076;2048;307137;118932;305398;122118
304;479;427;21737;11234;1;13138;2076;2048;308157;119181;306417;122330
305;483;448;22350;11346;1;13105;2077;2048;309172;119440;307483;122572
306;466;447;22974;11461;1;13053;2077;2048;310222;119685;308532;122787
307;492;470;23600;11562;1;12995;2077;2048;311218;119955;309537;123009
308;485;465;24209;11667;1;12968;2077;2049;312283;120189;310570;123228
309;500;464;24855;11802;1;12902;2078;2049;313330;120427;311611;123443
310;479;484;25337;11914;1;12940;2078;2049;314339;120697;312695;123675
311;498;501;25972;12029;1;12893;2078;2049;315356;120941;313687;123900
312;528;487;26518;12164;1;12904;2078;2049;316414;121175;314760;124134
313;495;540;27020;12290;1;12951;2079;2049;317491;121423;315780;124390
314;436;486;27590;12397;1;12964;2079;2050;318601;121662;316827;124621
315;460;489;28115;12522;1;12978;2079;2050;319618;121888;317843;124872
316;454;488;28666;12657;1;12981;2079;2050;320709;122117;318845;125095
317;425;521;29153;12788;1;13030;2080;2050;321765;122336;319842;125301
318;498;531;29709;12910;1;13035;2080;2050;322790;122580;320808;125540
319;466;499;30154;13040;1;13105;2080;2050;323821;122826;321807;125766
320;488;521;30634;13158;1;13117;2080;2051;324892;123068;322773;126024
321;458;543;31151;13268;1;13142;2081;2051;325959;123338;323801;126284
322;454;481;31614;13395;1;13184;2081;2051;327030;123568;324771;126567
323;481;489;32128;13509;1;13208;2081;2051;328069;123800;325772;126807
324;499;519;32479;13608;1;13315;2081;2051;329108;124051;326764;127061
325;472;529;32805;13740;1;13470;2082;2051;330157;124289;327801;127347
326;462;531;33266;13867;1;13527;2082;2052;331226;124522;328814;127610
327;471;512;33715;13979;1;13587;2082;2052;332250;124767;329843;127880
328;481;500;34141;14103;1;13658;2082;2052;333288;124998;330850;128139
329;506;492;34531;14208;1;13767;2083;2052;334315;125242;331879;128397
330;470;538;34852;14312;1;13908;2083;2052;335388;125486;332856;128652
331;455;511;35322;14426;1;13973;2083;2052;336406;125725;333889;128911
332;472;549;35713;14560;1;14066;2084;2053;337432;125939;334930;129174
333;466;529;36188;14686;1;14110;2084;2053;338444;126206;335984;129450
334;445;470;36654;14821;1;14150;2084;2053;339526;126460;337068;129712
335;461;509;37104;14925;1;14190;2084;2053;340548;126704;338093;129972
336;448;529;37572;15033;1;14231;2085;2053;341610;126942;339152;130213
337;451;540;38046;15156;1;14267;2085;2053;342637;127189;340207;130446
338;461;509;38423;15267;1;14360;2085;2054;343666;127426;341198;130731
339;453;550;38841;15370;1;14420;2085;2054;344701;127664;342206;131003
340;440;523;39295;15488;1;14476;2086;2054;345747;127886;343242;131280
341;474;561;39661;15617;1;14572;2086;2054;346766;128106;344290;131564
342;470;560;40117;15733;1;14637;2086;2054;347741;128331;345368;131819
343;489;555;40553;15857;1;14701;2086;2054;348753;128545;346460;132122
344;496;551;40992;15986;1;14780;2087;2055;349772;128792;347522;132397
345;483;541;41300;16087;1;14931;2087;2055;350785;129034;348516;132695
346;491;538;41689;16215;1;15022;2087;2055;351867;129270;349498;132989
347;453;531;42132;16349;1;15074;2087;2055;352846;129541;350522;133244
348;476;539;42470;16482;1;15191;2088;2055;353890;129769;351554;133537
349;472;544;42870;16622;1;15268;2088;2055;354956;130049;352531;133805
350;497;560;43199;16757;1;15405;2088;2055;355978;130280;353627;134079
351;483;576;43576;16873;1;15496;2088;2056;357001;130528;354669;134388
352;483;588;43988;16997;1;15582;2089;2056;358037;130755;355745;134693
353;505;598;44413;17114;1;15649;2089;2056;359048;130967;356775;134990
354;489;581;44747;17237;1;15774;2089;2056;360072;131242;357752;135275
355;464;511;45168;17369;1;15869;2089;2056;361098;131468;358757;135578
356;465;556;45520;17471;1;15976;2090;2056;362141;131704;359800;135856
357;499;580;45882;17592;1;16058;2090;2057;363197;131976;360815;136122
358;502;575;46252;17729;1;16154;2090;2057;364264;132213;361861;136404
359;453;568;46613;17852;1;16277;2090;2057;365284;132455;362870;136691
360;495;562;46966;17976;1;16390;2091;2057;366313;132697;363876;136951
361;517;566;47309;18114;1;16508;2091;2057;367398;132915;364932;137214
362;499;566;47646;18242;1;16633;2091;2057;368462;133152;365974;137503
363;474;575;47966;18359;1;16759;2091;2058;369490;133377;367014;137801
364;518;612;48361;18482;1;16832;2092;2058;370504;133612;368000;138083
365;506;605;48692;18592;1;16948;2092;2058;371496;133838;369021;138377
366;511;606;49062;18705;1;17040;2092;2058;372546;134072;369980;138648
367;445;614;49435;18835;1;17147;2092;2058;373583;134309;370972;138927
368;453;545;49858;18967;1;17199;2093;2058;374604;134558;372069;139220
369;447;574;50204;19082;1;17313;2093;2059;375641;134778;373110;139501
370;485;603;50545;19188;1;17428;2093;2059;376687;134990;374141;139784
371;498;614;50931;19309;1;17533;2093;2059;377723;135218;375216;140098
372;459;594;51287;19437;1;17646;2094;2059;378821;135472;376185;140400
373;473;541;51635;19566;1;17743;2094;2059;379886;135718;377192;140732
374;491;560;51946;19693;1;17857;2094;2059;380863;135941;378212;141028
375;493;616;52261;19796;1;17959;2094;2060;381890;136187;379248;141326
376;520;570;52618;19922;1;18079;2095;2060;382958;136400;380248;141621
377;527;580;52954;20033;1;18187;2095;2060;384016;136667;381265;141925
378;440;321;21386;11143;1;18002;2095;2060;385065;136865;382332;142085
379;508;348;22153;11256;1;17880;2095;2060;386095;137098;383343;142263
380;521;385;22813;11367;1;17847;2096;2060;387139;137343;384333;142453
381;532;405;23601;11476;1;17737;2096;2061;388139;137593;385364;142645
382;473;377;24337;11575;1;17655;2096;2061;389195;137854;386393;142817
383;430;390;25009;11691;1;17603;2096;2061;390252;138074;387478;143004
384;482;393;25759;11812;1;17496;2097;2061;391368;138329;388524;143207
385;438;391;26529;11940;1;17403;2097;2061;392432;138592;389570;143421
386;458;395;27239;12068;1;17335;2097;2061;393508;138822;390547;143626
387;481;424;27914;12198;1;17279;2097;2061;394565;139072;391565;143823
388;458;412;28570;12338;1;17231;2098;2062;395611;139293;392605;144026
389;452;390;29258;12483;1;17170;2098;2062;396709;139527;393594;144240
390;456;426;29878;12595;1;17137;2098;2062;397721;139755;394622;144459
391;479;435;30439;12725;1;17156;2098;2062;398756;139987;395664;144670
392;451;386;31075;12857;1;17134;2099;2062;399835;140202;396612;144864
393;456;428;31641;12995;1;17141;2099;2062;400897;140436;397606;145068
394;502;433;32313;13117;1;17105;2099;2063;401924;140646;398637;145292
395;460;440;32853;13229;1;17129;2099;2063;402954;140909;399639;145527
